start_temp,cooling,best_cost
1000.0,0.9,1671006.8123
1000.0,0.95,1275610.3759
1000.0,0.97,1088036.426
1000.0,0.98,1068492.9808
1000.0,0.99,1093731.6639
5000.0,0.9,1685460.0229
5000.0,0.95,1246018.2847
5000.0,0.97,1101108.1461
5000.0,0.98,1088053.7224
5000.0,0.99,1166643.7274
10000.0,0.9,1655384.7378
10000.0,0.95,1264813.1178
10000.0,0.97,1089482.3738
10000.0,0.98,1108088.252
10000.0,0.99,1200289.2133
20000.0,0.9,1679842.637
20000.0,0.95,1264176.408
20000.0,0.97,1091811.4851
20000.0,0.98,1119142.0469
20000.0,0.99,1254427.9868
50000.0,0.9,1670545.1913
50000.0,0.95,1251602.4977
50000.0,0.97,1105156.0964
50000.0,0.98,1138012.7561
50000.0,0.99,1334648.5222
